URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/care-plan-activity-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.147",CarePlanActivityStatus,CarePlanActivityStatus,"Codes that reflect the current state of a care plan activity within its overall life cycle.","ValueSet/care-plan-activity-status"
http://hl7.org/fhir/goal-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.272",GoalLifecycleStatus,GoalLifecycleStatus,"Codes that reflect the current state of a goal and whether the goal is still being targeted.","ValueSet/goal-status"
http://hl7.org/fhir/list-mode,4.0.1,draft,"2.16.840.1.113883.4.642.4.319",ListMode,ListMode,"The processing mode that applies to this list.","ValueSet/list-mode"
http://hl7.org/fhir/list-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.327",ListStatus,ListStatus,"The current state of the list.","ValueSet/list-status"
http://hl7.org/fhir/narrative-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.56",NarrativeStatus,NarrativeStatus,"The status of a resource narrative.","ValueSet/us-core-narrative-status"
http://hl7.org/fhir/observation-status,4.0.1,active,"2.16.840.1.113883.4.642.4.401",ObservationStatus,ObservationStatus,"Codes providing the status of an observation.","ValueSet/observation-status"
http://hl7.org/fhir/request-intent,4.0.1,draft,"2.16.840.1.113883.4.642.4.114",RequestIntent,RequestIntent,"Codes indicating the degree of authority/intentionality associated with a request.","ValueSet/care-plan-intent"
http://hl7.org/fhir/request-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.112",RequestStatus,RequestStatus,"Codes identifying the lifecycle stage of a request.","ValueSet/request-status"
http://hl7.org/fhir/resource-types,4.0.1,active,,ResourceType,ResourceType,"One of the resource types defined as part of this version of FHIR.","ValueSet/care-plan-activity-kind"
http://hl7.org/fhir/us/core/CodeSystem/us-core-category,6.1.0,active,,USCoreCategory,US Core Category,"Category codes used across US Core Profiles and resource types. They are typically used when there is a need for categorization for searching and finding resources or workflow hints.","ValueSet/us-core-screening-assessment-observation-category,ValueSet/us-core-simple-observation-category"
http://hl7.org/fhir/us/pco/CodeSystem/pco-care-tradeoff-choice-codes,0.2.0,active,,CareTradeOffChoiceCodes,Care Trade-off Choice Codes,"Code system to identify care trade-off choices.","ValueSet/pco-care-tradeoff-choices-vs"
http://hl7.org/fhir/us/pco/CodeSystem/pco-goal-domains,0.2.0,active,,PCOGoalDomains,PCO Goal Domains,"Goal domain codes used to identify the category for PCO resources.","ValueSet/pco-goal-domains-example-vs"
